maritime_area ;registration_number ;imo_number ;ship_name                                             ;callsign ;mmsi      ;shiptype             ;length ;tonnage  ;tonnage_unit ;materiel_onboard                                                                                                                                                                                                                                                                        ;atis_code     ;radio_license_status ;date_first_license ;date_inactivity_license
NI            ;305667X             ;           ;LILY 4                                                ;FP5797   ;          ;PLEASURE CRAFT       ;       ;9        ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;03/10/1979         ;20/12/1994
IO            ;660607B             ;           ;L'ACCENT D'ICI                                        ;FVHG     ;227480000 ;FISHING              ;15     ;29.9     ;TX           ;VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - BLU ASN - SATELLITE STANDARD C - SART (REPONDEUR RAD) - RECEPTEUR NAVTEX                                                                                                                                                      ;              ;ACTIVE               ;12/05/1989         ;
BR            ;442743T             ;           ;MICHELE                                               ;FT6341   ;          ;PLEASURE CRAFT       ;       ;1        ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;02/04/1984         ;31/12/1990
NA            ;460623C             ;           ;APATAKI                                               ;FT7157   ;          ;PLEASURE CRAFT       ;       ;6        ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;ACTIVE               ;17/02/1984         ;
LI            ;LI1858F             ;           ;INTRIGUE                                              ;FM4623   ;          ;RIVER SHIP           ;38     ;380      ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;9 227 13 4623 ;INACTIVE             ;01/07/1976         ;01/12/1997
NI            ;674783K             ;           ;NIRVANA 4                                             ;FU4397   ;          ;PLEASURE CRAFT       ;       ;18       ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;01/08/1986         ;31/12/1997
MT            ;671977K             ;           ;JEAN YVES II                                          ;FI2467   ;          ;FISHING              ;5      ;2        ;TX           ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;19/11/1987         ;31/12/1995
NI            ;256171X             ;           ;LE GIBI                                               ;FO8224   ;          ;PLEASURE CRAFT       ;       ;5        ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;01/08/1977         ;11/04/2003
SN            ;663297A             ;           ;FANTASME                                              ;FH8783   ;227113930 ;PLEASURE CRAFT       ;9      ;9        ;UMS          ;VHF ASN                                                                                                                                                                                                                                                                                 ;              ;ACTIVE               ;07/05/1983         ;
YE            ;425292Z             ;           ;PAPI                                                  ;FI3547   ;          ;FISHING              ;5      ;1        ;UMS          ;VHF - VHF PORTATIVE                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;10/06/1988         ;23/01/2007
SB            ;578532P             ;           ;MARIE JULIE                                           ;FT7352   ;          ;PLEASURE CRAFT       ;       ;6        ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;06/04/1984         ;10/12/1991
PP            ;296076X             ;           ;PAPYRUS                                               ;FO8272   ;          ;PASSENGERS SHIP      ;       ;38       ;TX           ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;01/11/1976         ;03/07/1992
##            ;P014588F            ;           ;BROOMSTICK                                            ;FM4642   ;226000750 ;RIVER SHIP           ;38     ;384      ;UMS          ;VHF - VHF ASN - AIS - RADAR 9 PAN (BANDE X)                                                                                                                                                                                                                                             ;9 227 13 4642 ;ACTIVE               ;01/11/1976         ;
MN            ;222335U             ;           ;YANN GAEL V                                           ;FO8050   ;          ;PLEASURE CRAFT       ;       ;3        ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;01/11/1976         ;13/02/1998
NI            ;499526N             ;           ;MALOYA                                                ;FT7738   ;          ;PLEASURE CRAFT       ;9      ;9        ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;ACTIVE               ;02/04/1984         ;
NI            ;256107C             ;           ;CHARLES LOUIS                                         ;FO8231   ;          ;FISHING              ;7      ;5        ;TX           ;VHF PORTATIVE                                                                                                                                                                                                                                                                           ;              ;ACTIVE               ;29/11/1976         ;
##            ;P013503F            ;           ;TWISTER                                               ;FM4330   ;226009730 ;RIVER SHIP           ;39.16  ;377.64   ;UMS          ;AIS                                                                                                                                                                                                                                                                                     ;9 227 13 4330 ;INACTIVE             ;26/10/1976         ;28/11/2016
PL            ;333931U             ;           ;SIR CEDRIC                                            ;FS2344   ;          ;OTHER                ;       ;269      ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;05/12/1980         ;05/12/1995
SB            ;434881X             ;           ;ATALANTE                                              ;FT6578   ;          ;PLEASURE CRAFT       ;6      ;3        ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;12/04/1984         ;16/07/2008
NI            ;673274V             ;           ;BEREL                                                 ;FI7621   ;          ;PLEASURE CRAFT       ;8      ;7        ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;ACTIVE               ;08/08/1988         ;
LR            ;556664V             ;           ;GLAZ IZEL 2                                           ;FS5611   ;          ;PLEASURE CRAFT       ;9      ;8        ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;01/10/1981         ;17/02/2011
LO            ;422251U             ;           ;MANDIBULE                                             ;FT6283   ;          ;PLEASURE CRAFT       ;       ;4        ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;09/04/1984         ;16/12/1996
PA            ;RE06206             ;           ;MISAINE                                               ;FM6292   ;          ;RIVER SHIP           ;       ;         ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;9 227 13 6292 ;INACTIVE             ;14/05/1986         ;31/12/1991
PA            ;PA12265F            ;           ;HERMINE                                               ;FM4643   ;          ;RIVER SHIP           ;       ;         ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;9 227 13 4643 ;INACTIVE             ;01/11/1976         ;15/01/1990
CN            ;288027Y             ;           ;L AURORE                                              ;FO9353   ;227316430 ;FISHING              ;11     ;8        ;TX           ;VHF - VHF ASN - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - RADAR 9 PAN (BANDE X)                                                                                                                                                                                                         ;              ;ACTIVE               ;01/11/1985         ;
MN            ;290355D             ;           ;MOBBY DICK                                            ;FS4586   ;227603590 ;FISHING              ;10     ;5        ;TX           ;VHF - VHF ASN - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - RADAR 9 PAN (BANDE X)                                                                                                                                                                                                         ;              ;INACTIVE             ;27/01/1983         ;17/12/2009
