maritime_area,registration_number,imo_number,ship_name,callsign,mmsi,shiptype,length,tonnage,tonnage_unit,materiel_onboard,atis_code,radio_license_status,date_first_license,date_inactivity_license
IO,660607B,,L'ACCENT D'ICI,FVHG,227480000,FISHING,15,29.9,TX,VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - BLU ASN - SATELLITE STANDARD C - SART (REPONDEUR RAD) - RECEPTEUR NAVTEX,,ACTIVE,12/05/1989,
SN,686560L,,PAPI PAUL,FVFG,228364000,FISHING,18.5,58,TX,VHF - VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - BLU ASN - SATELLITE STANDARD C - RECEPTEUR NAVTEX,,ACTIVE,07/04/1988,
GV,449858B,,MARIE STELLA,FP6474,227729620,FISHING,12.77,21,TX,VHF - VHF ASN - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - RADAR 9 PAN (BANDE X) - DIVERS,,ACTIVE,01/10/1979,
AC,738693C,,OCEANE III,FGBL,227875000,FISHING,19.15,62.14,TX,VHF - VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - BLU - BLU ASN - RADAR 9 PAN (BANDE X) - SART (REPONDEUR RAD) - RECEPTEUR NAVTEX,,ACTIVE,22/09/1989,
GV,407007Z,,MAB FANCH,FPDH,228219000,FISHING,15.6,29.7,TX,VHF - VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - BLU - RADAR 9 PAN (BANDE X),,ACTIVE,01/02/1978,
BR,692018U,,SAINT DENIS,FHFO,228051000,BULK,28.67,221.74,TX,VHF - VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - BLU - RADAR 9 PAN (BANDE X) - SART (REPONDEUR RAD) - RECEPTEUR NAVTEX - DIVERS,,ACTIVE,20/09/1986,
GV,317545H,,STEREDEN AR MOOR,FZZX,228167900,FISHING,14,29,TX,VHF - VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - RADAR 9 PAN (BANDE X),,ACTIVE,09/10/1987,
GV,642098H,,KERFLOUS,FHDX,227474000,FISHING,23.5,101.82,TX,VHF - VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - BLU ASN - SATELLITE STANDARD C - RADAR 9 PAN (BANDE X) - SART (REPONDEUR RAD) - RECEPTEUR NAVTEX,,ACTIVE,09/04/1986,
GV,514559D,,LIOU AN AMZER,FPSV,228281000,FISHING,17.7,57,TX,VHF - VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - BLU ASN - SATELLITE STANDARD C - RADAR 9 PAN (BANDE X) - SART (REPONDEUR RAD) - RECEPTEUR NAVTEX,,ACTIVE,01/06/1981,
GV,555180G,,GWEN EMMA,FUEG,228383000,FISHING,20.4,49.65,TX,VHF - VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - BLU ASN - SATELLITE STANDARD C - RADAR 9 PAN (BANDE X) - SART (REPONDEUR RAD) - RECEPTEUR NAVTEX,,ACTIVE,01/01/1982,
