sourcemmsi,lon,lat,t,TimeStamp
245257000,-4.4657183,48.38249,1443650402,2015-10-01 01:00:02
227705102,-4.4965715,48.38242,1443650403,2015-10-01 01:00:03
228131600,-4.644325,48.092247,1443650404,2015-10-01 01:00:04
228051000,-4.4851084,48.38132,1443650405,2015-10-01 01:00:05
227574020,-4.4954414,48.38366,1443650406,2015-10-01 01:00:06
228854000,-4.347825,48.117958,1443650408,2015-10-01 01:00:08
227415000,-4.7691517,47.987152,1443650409,2015-10-01 01:00:09
228037700,-4.4719133,48.16634,1443650411,2015-10-01 01:00:11
227443000,-4.782632,48.005634,1443650411,2015-10-01 01:00:11
228037600,-4.4480133,48.157574,1443650419,2015-10-01 01:00:19
228931000,-4.48347,48.11528,1443650438,2015-10-01 01:00:38
228131600,-4.647815,48.092,1443650464,2015-10-01 01:01:04
228051000,-4.485093,48.38134,1443650466,2015-10-01 01:01:06
227574020,-4.4954367,48.383686,1443650466,2015-10-01 01:01:06
227415000,-4.7685933,47.98407,1443650469,2015-10-01 01:01:09
228037700,-4.4704785,48.166447,1443650471,2015-10-01 01:01:11
245257000,-4.4658,48.382607,1443650473,2015-10-01 01:01:13
227705102,-4.4965935,48.382427,1443650474,2015-10-01 01:01:14
228854000,-4.352793,48.11796,1443650477,2015-10-01 01:01:17
228037600,-4.444267,48.15777,1443650479,2015-10-01 01:01:19
227443000,-4.781915,48.001984,1443650480,2015-10-01 01:01:20
228190600,-4.326842,48.09865,1443650498,2015-10-01 01:01:38
227574020,-4.495445,48.38365,1443650526,2015-10-01 01:02:06
227705102,-4.496568,48.382435,1443650534,2015-10-01 01:02:14
228854000,-4.358685,48.118015,1443650558,2015-10-01 01:02:38
228931000,-4.4750667,48.116016,1443650578,2015-10-01 01:02:58
227574020,-4.495448,48.38365,1443650586,2015-10-01 01:03:06
228190600,-4.3268385,48.098644,1443650617,2015-10-01 01:03:37
228157000,-4.4191065,48.12009,1443650619,2015-10-01 01:03:39
228931000,-4.4690084,48.116722,1443650679,2015-10-01 01:04:39
228190600,-4.326845,48.09864,1443650698,2015-10-01 01:04:58
227318020,-4.642645,48.0002,1443650723,2015-10-01 01:05:23
228186700,-4.5124984,48.370834,1443650745,2015-10-01 01:05:45
227318020,-4.64015,47.998516,1443650783,2015-10-01 01:06:23
228186700,-4.5124984,48.370834,1443650814,2015-10-01 01:06:54
228931000,-4.460675,48.117496,1443650818,2015-10-01 01:06:58
228190600,-4.3268385,48.09865,1443650837,2015-10-01 01:07:17
228186700,-4.512665,48.370834,1443650874,2015-10-01 01:07:54
228931000,-4.4557533,48.117935,1443650898,2015-10-01 01:08:18
228190600,-4.3268332,48.098648,1443650916,2015-10-01 01:08:36
227123700,-4.65736,48.09059,1443650930,2015-10-01 01:08:50
228190600,-4.3268332,48.098648,1443650998,2015-10-01 01:09:58
228157000,-4.3926983,48.122345,1443651040,2015-10-01 01:10:40
228190600,-4.326832,48.09865,1443651096,2015-10-01 01:11:36
227123700,-4.67826,48.088226,1443651308,2015-10-01 01:15:08
228133000,-4.423237,48.117626,1443651528,2015-10-01 01:18:48
228133000,-4.427612,48.11739,1443651588,2015-10-01 01:19:48
228157000,-4.357052,48.1227,1443651600,2015-10-01 01:20:00
228157000,-4.351928,48.12005,1443651698,2015-10-01 01:21:38
227123700,-4.713402,48.08391,1443651950,2015-10-01 01:25:50
228190592,-4.326832,48.508247,1443651987,2015-10-01 01:26:27
227123700,-4.7166715,48.083183,1443652010,2015-10-01 01:26:50
227123700,-4.75397,48.06434,1443652858,2015-10-01 01:40:58
228843000,-4.3263717,48.09828,1443653006,2015-10-01 01:43:26
228843000,-4.3264284,48.098255,1443653146,2015-10-01 01:45:46
228843000,-4.326393,48.098312,1443653466,2015-10-01 01:51:06
228843000,-4.3263965,48.0983,1443653526,2015-10-01 01:52:06
220625000,-5.1825914,48.11898,1443653552,2015-10-01 01:52:32
228843000,-4.326405,48.09828,1443653587,2015-10-01 01:53:07
228843000,-4.326415,48.098274,1443653686,2015-10-01 01:54:46
228195000,-5.0624285,48.27268,1443653698,2015-10-01 01:54:58
228843000,-4.3264165,48.098312,1443653786,2015-10-01 01:56:26
228195000,-5.0640135,48.273087,1443653798,2015-10-01 01:56:38
220625000,-5.1868567,48.100727,1443653882,2015-10-01 01:58:02
220625000,-5.18714,48.084045,1443654181,2015-10-01 02:03:01
220625000,-5.1873183,48.07972,1443654261,2015-10-01 02:04:21
228195000,-5.072622,48.273113,1443654278,2015-10-01 02:04:38
228843000,-4.3263965,48.098293,1443654286,2015-10-01 02:04:46
227635680,-4.6399765,48.001102,1443654327,2015-10-01 02:05:27
220625000,-5.1875916,48.074013,1443654361,2015-10-01 02:06:01
227635680,-4.6428366,48.000854,1443654426,2015-10-01 02:07:06
228843000,-4.32639,48.0983,1443654517,2015-10-01 02:08:37
220625000,-5.1881385,48.06283,1443654562,2015-10-01 02:09:22
220625000,-5.1491017,47.962875,1443656521,2015-10-01 02:42:01
220625000,-5.1177416,47.949524,1443657002,2015-10-01 02:50:02
227635680,-4.66642,48.007553,1443657137,2015-10-01 02:52:17
228213700,-4.638553,47.998634,1443657259,2015-10-01 02:54:19
